Gesamtkosten,Anzahl_Verschreibungen,Anzahl_Versicherte,Durchschnittliche_Kosten_pro_Verschreibung,Durchschnittliche_Kosten_pro_Versicherten
6409308.82,17878,7794,358.5,822.34
1112719.97,3102,2662,358.71,418.0
1098036.58,3074,2673,357.2,410.79
1063787.52,3037,2618,350.28,406.34
1062211.62,3034,2638,350.1,402.66
1058842.71,3018,2607,350.84,406.15
1053202.93,2945,2551,357.62,412.86
1046717.24,2960,2579,353.62,405.86
1026939.36,2920,2520,351.69,407.52
1026451.93,2965,2554,346.19,401.9
1017039.32,2889,2505,352.04,406.0
1014917.03,2855,2470,355.49,410.9
1013644.4,2903,2516,349.17,402.88
1006800.99,2948,2558,341.52,393.59
1004852.63,2874,2470,349.64,406.82
1002760.49,2821,2452,355.46,408.96
978886.01,2742,2408,357.0,406.51
969211.04,2729,2377,355.15,407.75
948197.9,2655,2327,357.14,407.48
921442.73,2580,2280,357.15,404.14
878412.98,2492,2211,352.49,397.29
874257.45,2495,2204,350.4,396.67
867820.53,2501,2203,346.99,393.93
866179.03,2465,2204,351.39,393.0
841316.86,2365,2104,355.74,399.87
825888.52,2241,2012,368.54,410.48
824591.46,2355,2101,350.14,392.48
813400.26,2266,2037,358.96,399.31
768169.3,2142,1957,358.62,392.52
761217.8,2134,1912,356.71,398.13
735528.04,2119,1890,347.11,389.17
726689.8,2073,1852,350.55,392.38
690900.76,1915,1765,360.78,391.45
680960.3,1886,1716,361.06,396.83
674219.39,1854,1680,363.66,401.32
642155.98,1754,1605,366.11,400.1
623989.88,1690,1560,369.22,399.99
620851.43,1713,1588,362.44,390.96
581735.67,1595,1464,364.72,397.36
561544.24,1543,1440,363.93,389.96
550952.33,1493,1389,369.02,396.65
546046.97,1571,1456,347.58,375.03
531923.93,1428,1335,372.5,398.44
514263.52,646,609,796.07,844.44
483332.25,1347,1261,358.82,383.29
474828.03,1285,1209,369.52,392.74
443244.73,1234,1164,359.19,380.79
434535.51,1177,1103,369.19,393.96
427790.5,1146,1091,373.29,392.11
422755.5,1050,984,402.62,429.63
405817.57,1081,1030,375.41,394.0
392576.85,1074,1027,365.53,382.26
363461.35,969,919,375.09,395.5
345515.93,854,813,404.59,424.99
336391.14,915,882,367.64,381.4
332534.65,890,848,373.63,392.14
296757.56,770,743,385.4,399.4
280125.33,737,714,380.09,392.33
271876.42,699,676,388.95,402.18
268870.98,688,666,390.8,403.71
259641.86,587,571,442.32,454.71
258613.39,686,666,376.99,388.31
238404.41,606,588,393.41,405.45
213491.69,529,518,403.58,412.15
205508.06,534,527,384.85,389.96
191601.43,503,486,380.92,394.24
185283.78,462,454,401.05,408.11
169644.38,428,418,396.37,405.85
163276.42,389,380,419.73,429.67
155634.65,437,430,356.14,361.94
154674.18,368,356,420.31,434.48
128874.96,303,301,425.33,428.16
128013.7,327,324,391.48,395.1
126431.77,313,308,403.94,410.49
116624.12,288,286,404.94,407.78
112695.76,277,272,406.84,414.32
89983.26,223,221,403.51,407.16
87612.63,236,233,371.24,376.02
55260.88,144,144,383.76,383.76
55237.76,158,157,349.61,351.83
53255.45,157,157,339.21,339.21
45267.74,149,148,303.81,305.86
44972.35,119,119,377.92,377.92
42881.06,130,127,329.85,337.65
40868.09,104,102,392.96,400.67
40029.64,104,103,384.9,388.64
31949.11,87,86,367.23,371.5
30490.79,90,90,338.79,338.79
29616.74,91,91,325.46,325.46
26485.46,69,69,383.85,383.85
23312.36,54,54,431.71,431.71
22658.63,70,70,323.69,323.69
21047.25,51,51,412.69,412.69
20034.63,61,60,328.44,333.91
18969.53,52,52,364.8,364.8
17334.08,41,41,422.78,422.78
16776.88,54,54,310.68,310.68
13707.9,44,43,311.54,318.79
12582.39,40,40,314.56,314.56
10659.78,35,35,304.57,304.57
7309.0,18,18,406.06,406.06
6167.84,17,17,362.81,362.81
2790.68,11,11,253.7,253.7
2478.22,14,14,177.02,177.02
2028.86,9,9,225.43,225.43
1779.9,11,11,161.81,161.81
1485.43,5,5,297.09,297.09
798.63,2,2,399.32,399.32
783.91,3,3,261.3,261.3
646.83,1,1,646.83,646.83
